symbol,name,history_days,first_date,last_date,annualized_volatility_pct_252d,median_daily_dollar_volume_252d,market_cap_usd,波动档,流动性档,市值档,历史状态,策略特征组
BRUN,Boost Run Inc. Class A Common Stock,387,2024-12-30,2026-07-17,73.10410017139965,3150673.971557617,1500088219.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
BSIN,Big Sky Industrial Inc. Common Stock,2514,2016-07-18,2026-07-17,72.19002866586578,838238.994705677,73248601.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
BTCS,BTCS Inc. Common Stock,2514,2016-07-18,2026-07-17,85.6568876981905,2565144.010937214,49242775.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
BTMD,Biote Corp. Class A Common Stock,1311,2021-04-28,2026-07-17,68.58534601830236,395268.4989929199,91322569.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
BVS,Bioventus Inc. Class A Common Stock,1363,2021-02-11,2026-07-17,52.77248779662832,2795429.9461841583,1007429507.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
BYRN,"Byrna Technologies, Inc. Common Stock",2514,2016-07-18,2026-07-17,79.53203611205139,5499238.871383667,75795809.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
CADL,"Candel Therapeutics, Inc. Common Stock",1249,2021-07-27,2026-07-17,70.64331405459293,5053677.955746651,745891033.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
CBIO,"Crescent Biopharma, Inc. Common Stock",2514,2016-07-18,2026-07-17,77.4913687782029,1872074.0204811096,526084238.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
CBLL,"CeriBell, Inc. Common Stock",441,2024-10-11,2026-07-17,54.12041019848829,4608076.927947998,710287344.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
CCLD,"CareCloud, Inc. Common Stock",2514,2016-07-18,2026-07-17,63.771065004044694,981087.031853199,98583642.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
CCRN,"Cross Country Healthcare, Inc. Common Stock $0.0001 Par Value",2514,2016-07-18,2026-07-17,54.84848674084291,4189373.9882946014,428084432.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
CCSI,"Consensus Cloud Solutions, Inc. Common Stock",1203,2021-09-30,2026-07-17,53.11304384674935,3732557.446575165,688819248.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
CDXS,"Codexis, Inc. Common Stock",2514,2016-07-18,2026-07-17,82.03272141268741,1887761.5120232103,203608310.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
CDZI,"CADIZ, Inc. Common Stock",2514,2016-07-18,2026-07-17,63.259571502154785,3236043.5972452164,285893372.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
CERS,Cerus Corporation Common Stock,2514,2016-07-18,2026-07-17,74.65459086947294,2462758.0594062805,627154889.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
CEVA,"CEVA, Inc. Common Stock",2514,2016-07-18,2026-07-17,68.11753763034201,8387286.413860321,1057820241.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
