symbol,name,history_days,first_date,last_date,annualized_volatility_pct_252d,median_daily_dollar_volume_252d,market_cap_usd,波动档,流动性档,市值档,历史状态,策略特征组
TEAM,Atlassian Corporation Class A Common Stock,2514,2016-07-18,2026-07-17,65.61916092571789,426233700.4737854,23674003846.0,中波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－中波动
TEM,"Tempus AI, Inc. Class A Common Stock",523,2024-06-14,2026-07-17,66.04382252862762,354706570.22132874,9421763324.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
TER,"Teradyne, Inc. Common Stock",2514,2016-07-18,2026-07-17,73.47125200103982,736667572.9766846,50462148632.0,中波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－中波动
TLN,Talen Energy Corporation Common Stock,783,2023-06-02,2026-07-17,58.48293601222655,290801837.81433105,17834533055.0,中波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－中波动
TMDX,"TransMedics Group, Inc. Common Stock",1812,2019-05-02,2026-07-17,58.8656843098408,94036435.70022584,2556816196.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
TNDM,"Tandem Diabetes Care, Inc. Common Stock",2514,2016-07-18,2026-07-17,80.07106034604024,29974045.85852623,1170476840.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
TREE,"LendingTree, Inc. Common Stock",2514,2016-07-18,2026-07-17,69.22624614237452,12138829.092979431,645327083.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
TRIP,"TripAdvisor, Inc. Common Stock",2514,2016-07-18,2026-07-17,51.10323069331875,37230297.76239395,1696545844.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
TRVI,"Trevi Therapeutics, Inc. Common Stock",1809,2019-05-07,2026-07-17,62.80226730404658,16092915.949440002,2707553032.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
TSEM,Tower Semiconductor Ltd. Ordinary Shares,2514,2016-07-18,2026-07-17,73.33705821718407,209823963.52729797,26412319390.0,中波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－中波动
TSHA,"Taysha Gene Therapies, Inc. Common Stock",1459,2020-09-24,2026-07-17,89.92022820016375,12858028.908514977,1712671679.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
TTAN,"ServiceTitan, Inc. Class A Common Stock",398,2024-12-12,2026-07-17,52.95584431170026,84886740.73028564,7250216004.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
TTD,"The Trade Desk, Inc. Class A Common Stock",2468,2016-09-21,2026-07-17,64.31548270762305,453041411.41204834,8739314431.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
