symbol,source,band_lo,band_hi,stop_pct,sma_n,entry_lag,hard_stop_days,stop_intraday,cost_bps,mode,n_trades,initial_capital,final_equity,total_pnl,win_rate_pct,avg_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,max_drawdown_pct,avg_days_held,max_win_pct,max_loss_pct,gross_profit,gross_loss
ADEA,data/nasdaq_10y/ADEA.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,42,10000,13239.93,3239.93,33.33,0.771,6.343,-2.014,3.149,1.575,-15.07,4.1,22.804,-11.664,8879.49,5639.56
ADGM,data/nasdaq_10y/ADGM.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,6,10000,8514.64,-1485.36,16.67,-2.617,1.0,-3.34,0.299,0.055,-8.88,1.83,1.0,-6.552,86.02,1571.39
ADGM,data/nasdaq_10y/ADGM.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,6,10000,8429.89,-1570.11,16.67,-2.617,1.0,-3.34,0.299,0.06,-9.79,1.83,1.0,-6.552,100.0,1670.11
ADI,data/nasdaq_10y/ADI.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,54,10000,8843.04,-1156.96,31.48,-0.18,3.389,-1.819,1.863,0.818,-28.59,3.39,12.903,-3.582,5204.36,6361.14
ADI,data/nasdaq_10y/ADI.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,54,10000,9030.28,-969.72,31.48,-0.18,3.389,-1.819,1.863,0.856,-29.21,3.39,12.903,-3.582,5761.07,6730.79
ADIL,data/nasdaq_10y/ADIL.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,25,10000,6103.83,-3896.17,8.0,-1.907,6.453,-2.633,2.45,0.205,-35.44,1.6,10.274,-8.867,1005.7,4901.89
ADIL,data/nasdaq_10y/ADIL.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,25,10000,5233.68,-4766.32,8.0,-1.907,6.453,-2.633,2.45,0.213,-44.64,1.6,10.274,-8.867,1290.56,6056.88
ADMA,data/nasdaq_10y/ADMA.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,47,10000,14664.2,4664.2,29.79,1.095,9.245,-2.362,3.914,1.572,-15.97,3.02,39.648,-10.483,12822.31,8158.31
ADMA,data/nasdaq_10y/ADMA.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,47,10000,15148.23,5148.23,29.79,1.095,9.245,-2.362,3.914,1.661,-16.2,3.02,39.648,-10.483,12942.16,7793.93
ADP,data/nasdaq_10y/ADP.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,23,10000,10976.28,976.28,47.83,0.446,2.622,-1.549,1.693,1.523,-11.97,4.74,7.666,-2.554,2842.43,1866.18
ADP,data/nasdaq_10y/ADP.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,23,10000,11025.88,1025.88,47.83,0.446,2.622,-1.549,1.693,1.552,-12.5,4.74,7.666,-2.554,2884.66,1858.78
ADPT,data/nasdaq_10y/ADPT.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,29,10000,8798.21,-1201.79,20.69,-0.383,6.224,-2.106,2.954,0.743,-22.2,2.31,7.634,-4.0,3465.51,4667.33
ADPT,data/nasdaq_10y/ADPT.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,29,10000,8889.17,-1110.83,20.69,-0.383,6.224,-2.106,2.954,0.771,-22.35,2.31,7.634,-4.0,3734.03,4844.86
ADSE,data/nasdaq_10y/ADSE.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,15,10000,8935.95,-1064.05,26.67,-0.641,5.131,-2.74,1.872,0.66,-22.84,1.87,14.842,-5.794,2068.94,3133.03
ADSE,data/nasdaq_10y/ADSE.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,15,10000,9038.04,-961.96,26.67,-0.641,5.131,-2.74,1.872,0.681,-21.97,1.87,14.842,-5.794,2052.51,3014.47
ADSK,data/nasdaq_10y/ADSK.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,56,10000,10576.28,576.28,37.5,0.183,3.632,-1.887,1.925,1.074,-23.56,4.21,19.328,-8.2,8316.27,7740.19
ADSK,data/nasdaq_10y/ADSK.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,56,10000,11022.51,1022.51,37.5,0.183,3.632,-1.887,1.925,1.155,-18.84,4.21,19.328,-8.2,7627.58,6605.07
ADTN,data/nasdaq_10y/ADTN.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,48,10000,7497.55,-2502.45,31.25,-0.442,4.351,-2.621,1.66,0.699,-39.09,3.21,14.372,-27.023,5800.81,8303.51
ADTN,data/nasdaq_10y/ADTN.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,48,10000,7876.4,-2123.6,31.25,-0.442,4.351,-2.621,1.66,0.754,-40.39,3.21,14.372,-27.023,6526.34,8649.94
