symbol,mode,signal,entry,exit,days_held,entry_px,exit_px,ret_pct,pnl_eur,reason
TESLA,复利,2011-04-20,2011-04-25,2011-05-03,6,1.7593,1.7913,1.719,226.46,收盘价低于 SMA5
TESLA,复利,2011-06-28,2011-06-30,2011-07-06,3,1.942,1.9307,-0.684,-91.61,收盘价低于入场价
TESLA,复利,2011-07-19,2011-07-21,2011-07-26,3,1.9133,1.8667,-2.539,-337.94,收盘价低于入场价
TESLA,复利,2011-12-02,2011-12-06,2011-12-07,1,2.3247,2.2782,-2.1,-272.41,t3 日内止损
TESLA,复利,2011-12-27,2011-12-29,2012-01-03,2,1.9153,1.877,-2.1,-266.69,t4 日内止损
TESLA,复利,2012-01-24,2012-01-26,2012-02-10,11,1.9293,2.0733,7.364,915.53,收盘价低于 SMA5
TESLA,复利,2012-11-12,2012-11-14,2012-11-15,1,2.092,2.0502,-2.1,-280.32,t3 日内止损
TESLA,复利,2013-01-23,2013-01-25,2013-01-31,4,2.4653,2.5007,1.333,174.23,收盘价低于 SMA5
TESLA,复利,2013-03-20,2013-03-22,2013-04-05,9,2.4413,2.758,12.871,1704.45,收盘价低于 SMA5
TESLA,复利,2013-06-04,2013-06-06,2013-06-11,3,6.49,6.298,-3.058,-457.14,收盘价低于入场价
TESLA,复利,2013-06-14,2013-06-18,2013-06-20,2,6.8927,6.7548,-2.1,-304.29,t4 日内止损
TESLA,复利,2013-08-19,2013-08-21,2013-09-06,11,9.8573,11.1313,12.824,1819.2,收盘价低于 SMA5
TESLA,复利,2013-10-10,2013-10-14,2013-10-21,5,11.9813,11.5067,-4.062,-650.06,收盘价低于入场价
TESLA,复利,2014-02-06,2014-02-10,2014-02-19,6,13.104,12.9093,-1.586,-243.46,收盘价低于入场价
TESLA,复利,2014-03-03,2014-03-05,2014-03-07,2,16.844,16.5071,-2.1,-317.33,t4 日内止损
TESLA,复利,2014-03-28,2014-04-01,2014-04-04,3,14.4647,14.1487,-2.285,-337.98,收盘价低于入场价
TESLA,复利,2014-05-09,2014-05-13,2014-05-15,2,12.6773,12.4238,-2.1,-303.57,t4 日内止损
TESLA,复利,2014-05-19,2014-05-21,2014-05-30,6,13.2967,13.8513,4.071,576.2,收盘价低于 SMA5
TESLA,复利,2014-08-04,2014-08-06,2014-08-18,8,16.5953,17.3293,4.323,636.7,收盘价低于 SMA5
TESLA,复利,2014-08-25,2014-08-27,2014-09-05,6,17.55,18.4927,5.271,809.95,收盘价低于 SMA5
TESLA,复利,2015-01-21,2015-01-23,2015-01-28,3,13.4193,13.2913,-1.054,-170.46,收盘价低于入场价
TESLA,复利,2015-04-08,2015-04-10,2015-04-14,2,14.06,13.7788,-2.1,-336.1,t4 日内止损
TESLA,复利,2015-04-21,2015-04-23,2015-04-30,5,14.5733,15.07,3.308,518.32,收盘价低于 SMA5
TESLA,复利,2015-06-30,2015-07-02,2015-07-07,2,18.668,18.2946,-2.1,-339.92,t4 日内止损
