策略分组,标的,近252日年化波动率_%,近252日日均成交额,近20日收益_%,近60日收益_%,收盘相对SMA50_%,历史交易日数,交易数,胜率 (%),盈利因子,最大回撤 (%),累计收益率 (%)
高流动性－低波动,DOCU,45.6451210084129,180437718.6164856,21.325052214051276,10.984850947850312,10.994895754148825,2066,9,33.33,2.743,-4.94,21.25629999999998
高流动性－低波动,DORM,34.72727046485435,25813151.679611206,12.979466085684788,29.68849880112503,11.008421183355921,2514,19,15.79,0.536,-21.45,-16.587199999999992
高流动性－低波动,DOX,27.038415497367584,74115051.61209106,2.253739692832024,-19.930019199423164,-7.905464657310379,2514,8,25.0,1.445,-7.45,3.713999999999995
高流动性－低波动,DPZ,28.5346006062656,273964854.7241211,3.1074955730613585,-11.955838787656614,4.019090180093743,2514,14,28.57,0.919,-13.0,-1.4304000000000094
高流动性－低波动,DRH,26.042112608593925,21977101.58929825,1.949632517767519,24.380574835928325,8.948539200315974,2514,21,28.57,0.964,-17.38,-1.2240999999999946
高流动性－低波动,DRS,40.8332013115438,41201010.95542908,-4.2100745753417605,4.920370120846207,-1.3071116359286927,2514,21,14.29,0.522,-25.68,-19.215300000000003
高流动性－低波动,DRVN,50.01007697770831,15329273.817396164,20.031544958372294,20.4113912470657,10.641022229610254,1380,9,0.0,0.0,-21.89,-26.3074
高流动性－低波动,DSGX,38.37315761788575,41292066.59965515,10.14406898159994,-1.4877724964781902,3.5505483786824055,2514,18,33.33,0.674,-12.11,-7.528099999999993
高流动性－低波动,DXCM,40.9623508118328,329028625.8392334,5.767904284209724,20.879990080944854,8.760122442795804,2514,11,18.18,0.781,-17.29,-5.420499999999995
高流动性－低波动,EA,20.585714685955363,407969949.697876,3.339104726095865,3.0180467275021883,2.7771955271254534,2514,15,33.33,1.12,-5.78,2.3479000000000028
高流动性－低波动,EBAY,39.200368553110145,435078958.5472107,3.529194170561678,6.087286256147051,0.717586147489846,2514,17,23.53,0.996,-9.25,-0.10280000000000289
高流动性－低波动,EBC,28.573702563390928,37368255.542469025,11.650483369355369,13.58024691358024,10.579050254194765,1444,11,27.27,0.287,-14.27,-11.75360000000001
高流动性－低波动,ECPG,34.474008831676485,14488857.16972351,9.969895815821527,9.495261744657025,8.007939848179113,2514,10,40.0,0.893,-10.46,-1.5770999999999868
